,Name,Rating,Reviews,Jobs,Salary_reviews,Highly_rated,Poorly_rated,Details
0,TCS,3.8,68.8k,588,742.3k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +317 more
1,Accenture,4.0,43.6k,4.1k,515.5k,"Company Culture, Job Security, Skill Development / Learning",NaN,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +156 more
2,Cognizant,3.9,39.1k,600,498.2k,Skill Development / Learning,NaN,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +134 more
3,Wipro,3.8,36.3k,391,373.1k,Job Security,NaN,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +264 more
4,ICICI Bank,4.0,31.5k,220,137.3k,"Job Security, Skill Development / Learning, Company Culture",NaN,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1232 more
5,HDFC Bank,3.9,31.3k,559,124.2k,"Job Security, Skill Development / Learning",NaN,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1471 more
6,Infosys,3.9,29.8k,1k,414k,"Job Security, Company Culture, Skill Development / Learning",NaN,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +156 more
7,Capgemini,3.8,27.7k,855,338.6k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +108 more
8,Tech Mahindra,3.7,25.9k,1.3k,237k,NaN,NaN,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +248 more
9,HCLTech,3.7,25.5k,676,255.6k,Job Security,Promotions / Appraisal,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +163 more
10,Genpact,3.9,24.7k,794,177.6k,"Job Security, Skill Development / Learning, Work Life Balance",NaN,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +93 more
11,Axis Bank,3.8,20.7k,313,96.5k,Job Security,NaN,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1250 more
12,Concentrix Corporation,3.9,20.5k,112,101.4k,"Job Security, Company Culture",NaN,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +100 more
13,Amazon,4.1,19.6k,667,117.7k,"Company Culture, Salary & Benefits, Work Life Balance",NaN,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +415 more
14,Teleperformance,3.6,19.4k,274,75.3k,NaN,NaN,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +158 more
15,Reliance Jio,3.9,18.9k,157,63.5k,"Job Security, Skill Development / Learning",NaN,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1114 more
16,IBM,4.1,18.8k,1.7k,196.8k,"Work Life Balance, Job Security, Skill Development / Learning",NaN,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +140 more
17,Larsen & Toubro Limited,4.0,17.6k,220,77.5k,"Job Security, Skill Development / Learning",NaN,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +606 more
18,Reliance Retail,3.9,17.2k,247,55.6k,"Skill Development / Learning, Job Security",NaN,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +939 more
19,HDB Financial Services,4.0,16.6k,82,49.5k,"Skill Development / Learning, Job Security, Company Culture",NaN,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +914 more
20,Vodafone Idea,4.2,14.8k,346,61.3k,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,5k-10k Employees | Public | 5 years old | Mumbai +615 more
21,BYJU'S,3.1,13.8k,914,51k,"Job Security, Work Life Balance, Company Culture",NaN,EdTech | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +297 more
22,Deloitte,4.0,13.7k,300,140k,"Job Security, Skill Development / Learning, Salary & Benefits",NaN,Management Consulting | 1 Lakh+ Employees | 178 years old | London +152 more
23,Kotak Mahindra Bank,3.8,13.2k,283,75.1k,Job Security,NaN,Banking | 50k-1 Lakh Employees | Public | 20 years old | Mumbai +538 more
24,Reliance Industries,4.0,12.5k,35,64.1k,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Oil & Gas | Public | 46 years old | Navi Mumbai +617 more
25,Bharti Airtel,4.0,11.5k,312,43.9k,"Skill Development / Learning, Job Security, Company Culture",NaN,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +625 more
26,Tata Motors,4.2,10.6k,18,41.8k,"Job Security, Company Culture, Skill Development / Learning",NaN,Automobile | 10k-50k Employees | Public | 78 years old | Pune +436 more
27,iEnergizer,4.5,10k,117,18.2k,"Company Culture, Skill Development / Learning, Job Security",NaN,BPO | 10k-50k Employees | 23 years old | Noida +25 more
28,Flipkart,4.1,9.2k,443,44.2k,"Skill Development / Learning, Company Culture, Job Security",NaN,Internet | 10k-50k Employees | Public | 16 years old | Bangalore +513 more
29,WNS,3.5,9.1k,202,52.5k,Job Security,Promotions / Appraisal,BPO | 10k-50k Employees | 27 years old | Mumbai +33 more
30,IndusInd Bank,3.7,8.6k,252,44.6k,NaN,NaN,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +648 more
31,Mahindra & Mahindra,4.1,8.4k,97,37.6k,"Job Security, Skill Development / Learning, Company Culture",NaN,Automobile | 1 Lakh+ Employees | Public | 78 years old | Mumbai +464 more
32,Ernst & Young,3.6,8.3k,1.8k,106.1k,Job Security,NaN,Management Consulting | 50k-1 Lakh Employees | 21 years old | London +94 more
33,AU Small Finance Bank,4.5,8.2k,180,17.5k,"Skill Development / Learning, Job Security, Company Culture",NaN,Banking | 10k-50k Employees | Fortune India 500 | 27 years old | Jaipur +393 more
34,Infosys BPM,3.9,7.8k,61,54.6k,"Job Security, Company Culture, Skill Development / Learning",NaN,BPO | 10k-50k Employees | 21 years old | Bangalore/Bengaluru +60 more
35,DXC Technology,3.8,7.8k,141,76.2k,Work Life Balance,NaN,IT Services & Consulting | 10k-50k Employees | Public | 6 years old | Minato +66 more
36,IDFC FIRST Bank,4.0,7.5k,91,38.1k,"Salary & Benefits, Job Security, Skill Development / Learning",NaN,Banking | 10k-50k Employees | Public | 5 years old | Mumbai +538 more
37,Conneqt Business Solutions,3.7,7.3k,54,25.3k,NaN,NaN,IT Services & Consulting | 10k-50k Employees | 21 years old | Mumbai +195 more
38,HDFC Life,4.0,7.1k,118,23.8k,"Skill Development / Learning, Job Security, Company Culture",NaN,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +520 more
39,LTIMindtree,3.7,7k,37,79.8k,NaN,NaN,IT Services & Consulting | 50k-1 Lakh Employees | Public | 24 years old | Bangalore/Bengaluru +45 more
40,Bajaj Finserv,4.0,6.8k,45,24.3k,"Salary & Benefits, Skill Development / Learning, Job Security",NaN,Insurance | 10k-50k Employees | Public | 16 years old | Pune +820 more
41,HSBC Group,4.1,6.5k,26,55.9k,"Job Security, Work Life Balance, Company Culture",NaN,Banking | 10k-50k Employees | Forbes Global 2000 | 21 years old | Pune +56 more
42,Mphasis,3.5,6.5k,77,59.4k,"Promotions / Appraisal, Salary & Benefits",NaN,IT Services & Consulting | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +43 more
43,Samsung,4.1,6.5k,257,20.2k,"Salary & Benefits, Skill Development / Learning, Job Security",NaN,Consumer Electronics & Appliances | 5k-10k Employees | Public | 85 years old | Seoul +492 more
44,Hinduja Global Solutions,3.9,6.5k,26,26k,"Job Security, Company Culture, Work Life Balance",NaN,Software Product | 10k-50k Employees | Public | 23 years old | Bangalore/Bengaluru +89 more
45,PwC,3.6,6.5k,535,66.9k,Job Security,NaN,Management Consulting | 10k-50k Employees | Conglomerate | 143 years old | London +85 more
46,Startek,3.2,6.4k,39,23.5k,"Promotions / Appraisal, Salary & Benefits",NaN,BPO | 10k-50k Employees | Public | 6 years old | Mumbai +65 more
47,Ericsson,4.3,6.3k,76,42.9k,"Company Culture, Work Life Balance, Job Security",NaN,10k-50k Employees | Forbes Global 2000 | 147 years old | Stockholm +142 more
48,Maruti Suzuki,4.2,6.2k,29,26.1k,"Job Security, Salary & Benefits, Skill Development / Learning",NaN,Automobile | 10k-50k Employees | Public | 42 years old | New Delhi +346 more
49,Yes Bank,3.9,5.9k,28,39.3k,"Salary & Benefits, Work Life Balance",NaN,Banking | 10k-50k Employees | Public | 19 years old | Mumbai +423 more
50,Asian Paints,4.1,5.9k,100,20.7k,"Salary & Benefits, Skill Development / Learning, Job Security",NaN,Chemicals | 5k-10k Employees | Public | 81 years old | Mumbai +388 more
51,Cipla Pharmaceutical,4.1,5.8k,43,23.3k,"Skill Development / Learning, Salary & Benefits, Company Culture",NaN,Pharma | 10k-50k Employees | Public | 88 years old | Mumbai +220 more
52,Dr. Reddy's,4.1,5.7k,137,23.5k,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Pharma | 10k-50k Employees | Public | 39 years old | Hyderabad/Secunderabad +153 more
53,Sutherland Global Services,3.7,5.7k,178,26.7k,NaN,NaN,IT Services & Consulting | 10k-50k Employees | 37 years old | Pittsford +49 more
54,EXL Service,3.8,5.5k,193,33.1k,"Job Security, Work Life Balance",NaN,Analytics & KPO | 10k-50k Employees | 24 years old | New York City +42 more
55,UltraTech Cement,4.2,5.5k,13,20.3k,"Job Security, Skill Development / Learning, Company Culture",NaN,Building Material | 10k-50k Employees | Public | 40 years old | Mumbai +416 more
56,NTT DATA,4.0,5.5k,102,48.9k,"Job Security, Work Life Balance, Company Culture",NaN,10k-50k Employees | 35 years old | Chiyoda City +46 more
57,ICICI Prudential Life Insurance,4.1,5.4k,262,21.2k,"Job Security, Skill Development / Learning, Salary & Benefits",NaN,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +434 more
58,Bandhan Bank,3.8,5.3k,30,18.1k,Job Security,NaN,Banking | 50k-1 Lakh Employees | Public | 22 years old | Kolkata +706 more
59,Paytm,3.4,5.3k,612,27.4k,NaN,NaN,FinTech | 10k-50k Employees | Public | 13 years old | Noida +291 more
60,Jana Small Finance Bank,3.8,5.3k,176,15.6k,NaN,NaN,Banking | 10k-50k Employees | Public | 17 years old | Bangalore/Bengaluru +334 more
61,HCL Group,3.7,5.2k,1,69.2k,Job Security,NaN,IT Services & Consulting | 1 Lakh+ Employees | 47 years old | Chennai +70 more
62,Lupin,4.1,5.2k,12,21.5k,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +159 more
63,Indian Army,4.7,5.1k,--,10.3k,"Job Security, Company Culture, Work Satisfaction",NaN,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +311 more
64,Bajaj Finance,4.0,5.1k,137,18.9k,"Salary & Benefits, Skill Development / Learning, Job Security",NaN,NBFC | 10k-50k Employees | 36 years old | Pune +728 more
65,TATA Steel,4.1,5.1k,25,20.7k,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Iron & Steel | 1 Lakh+ Employees | Public | 116 years old | Mumbai +157 more
66,Udaan,4.0,5k,308,19.1k,"Salary & Benefits, Skill Development / Learning",NaN,Internet | 1k-5k Employees | Indian Unicorn | 7 years old | Bangalore +331 more
67,L&T Infotech,3.8,5k,138,68k,Job Security,NaN,IT Services & Consulting | 10k-50k Employees | Public | 27 years old | Mumbai +76 more
68,ITC,3.9,4.9k,79,22.1k,"Job Security, Skill Development / Learning",NaN,FMCG | 10k-50k Employees | Public | 48 years old | Kolkata +286 more
69,Zydus Lifesciences,4.1,4.9k,41,17.3k,"Job Security, Skill Development / Learning, Salary & Benefits",NaN,Pharma | 10k-50k Employees | Public | 71 years old | Ahmedabad +141 more
70,Wells Fargo,4.1,4.8k,49,40.2k,"Job Security, Work Life Balance, Company Culture",NaN,Banking | 10k-50k Employees | Public | 171 years old | San Francisco +20 more
71,JP Morgan Chase,4.2,4.7k,1.1k,59.3k,"Job Security, Company Culture, Skill Development / Learning",NaN,Financial Services | 50k-1 Lakh Employees | Forbes Global 2000 | 23 years old | New York +31 more
72,Delhivery,4.0,4.7k,376,16.2k,Skill Development / Learning,NaN,10k-50k Employees | Fortune India 500 | 12 years old | Delhi +584 more
73,FIS,3.9,4.7k,90,37.4k,"Work Life Balance, Company Culture, Job Security",NaN,FinTech | 10k-50k Employees | 55 years old | Jacksonville +39 more
74,Quess,4.0,4.7k,241,22.5k,Work Life Balance,NaN,Recruitment | 1 Lakh+ Employees | Public | 16 years old | Bangalore +477 more
75,Hindustan Unilever,4.2,4.6k,210,20.5k,"Skill Development / Learning, Job Security, Company Culture",NaN,FMCG | 10k-50k Employees | Public | 151 years old | London +404 more
76,Amazon Development Centre India,4.2,4.6k,29,5.5k,"Company Culture, Salary & Benefits, Work Life Balance",NaN,Internet | 10k-50k Employees | Hyderabad/Secunderabad +61 more
77,IIFL Finance,3.9,4.6k,125,17.3k,NaN,NaN,NBFC | 10k-50k Employees | Public | 28 years old | Mumbai +632 more
78,Hexaware Technologies,3.7,4.4k,310,41.4k,NaN,NaN,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 33 years old | Mumbai +39 more
79,Sun Pharmaceutical Industries,4.1,4.3k,101,19.4k,"Job Security, Skill Development / Learning, Salary & Benefits",NaN,Pharma | 10k-50k Employees | Public | 40 years old | Mumbai +185 more
80,JSW Steel,3.9,4.3k,60,23k,"Job Security, Skill Development / Learning",NaN,Iron & Steel | 10k-50k Employees | Public | 41 years old | Mumbai +123 more
81,Home Credit Finance,4.1,4.2k,95,12k,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Financial Services | 10k-50k Employees | 11 years old | Gurugram +109 more
82,Ujjivan Small Finance Bank,4.1,4.2k,164,12.7k,"Company Culture, Job Security, Skill Development / Learning",NaN,Banking | 10k-50k Employees | Public | 6 years old | Bangalore/Bengaluru +416 more
83,Max Life Insurance,4.1,4.2k,384,15.3k,"Company Culture, Skill Development / Learning, Job Security",NaN,Insurance | 10k-50k Employees | 23 years old | Gurgaon/Gurugram +364 more
84,KPMG India,3.6,4.1k,421,53.4k,Job Security,NaN,Management Consulting | 10k-50k Employees | 36 years old | Bengaluru/Bangalore +74 more
85,Oracle,3.8,4.1k,226,49.2k,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Software Product | 50k-1 Lakh Employees | Public | 46 years old | Austin +41 more
86,Shapoorji Pallonji Group,4.2,4.1k,22,15.2k,"Job Security, Skill Development / Learning, Company Culture",NaN,Engineering & Construction | 5k-10k Employees | Conglomerate | 158 years old | Mumbai +153 more
87,Aurobindo Pharma,4.0,4.1k,7,21.6k,"Job Security, Salary & Benefits, Work Life Balance",NaN,Pharma | 10k-50k Employees | Public | 37 years old | Hyderabad/Secunderabad +82 more
88,Muthoot Finance,3.5,4.1k,419,11.7k,NaN,NaN,NBFC | 10k-50k Employees | Public | 84 years old | Kochi/Cochin +597 more
89,OPPO,3.9,4.1k,16,14k,Skill Development / Learning,NaN,Consumer Electronics & Appliances | 10k-50k Employees | Public | 19 years old | Dongguan +355 more
90,eClerx,3.4,4.1k,212,26.4k,"Promotions / Appraisal, Salary & Benefits",NaN,IT Services & Consulting | 10k-50k Employees | Public | 23 years old | Mumbai +17 more
91,Ashok Leyland,4.1,4k,3,18.4k,"Skill Development / Learning, Work Satisfaction, Company Culture",NaN,Automobile | 5k-10k Employees | Public | 75 years old | Chennai +199 more
92,Capgemini Technology Services India Limited,4.0,4k,2,42.1k,"Job Security, Work Life Balance, Company Culture",NaN,IT Services & Consulting | 1 Lakh+ Employees | Bengaluru/Bangalore +35 more
93,Tata Projects,4.2,4k,37,18.8k,"Job Security, Company Culture, Skill Development / Learning",NaN,Engineering & Construction | 5k-10k Employees | Public | 44 years old | Mumbai +230 more
94,Shriram Transport Finance,4.1,4k,1,8.9k,"Job Security, Skill Development / Learning, Work Life Balance",NaN,NBFC | 10k-50k Employees | Public | 44 years old | Mumbai +757 more
95,Siemens,4.2,4k,1.4k,26.9k,"Job Security, Company Culture, Work Life Balance",NaN,Power | 5k-10k Employees | Public | 176 years old | Munich +121 more
96,Apollo Hospitals,4.1,4k,78,15.4k,"Job Security, Skill Development / Learning, Company Culture",NaN,Healthcare | 10k-50k Employees | Public | 40 years old | Chennai +175 more
97,JLL,4.2,4k,21,19.2k,"Skill Development / Learning, Job Security, Company Culture",NaN,Real Estate | 10k-50k Employees | Forbes Global 2000 | 26 years old | Mumbai +68 more
98,Vivo,4.0,4k,4,14.2k,"Skill Development / Learning, Company Culture",NaN,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 14 years old | Gurgaon/Gurugram +362 more
99,L&T Construction,4.0,3.9k,--,13.4k,"Job Security, Skill Development / Learning, Salary & Benefits",NaN,Engineering & Construction | 10k-50k Employees | Public | 79 years old | Chennai +323 more
100,First Source,3.8,3.9k,117,19.5k,NaN,NaN,BPO | 10k-50k Employees | Public | 22 years old | Mumbai +51 more
101,Omega Healthcare,3.8,3.8k,78,19.7k,NaN,NaN,Healthcare | 10k-50k Employees | 20 years old | Florida +38 more
102,JustDial,3.5,3.8k,119,15k,NaN,NaN,Internet | 10k-50k Employees | Public | 27 years old | Mumbai +165 more
103,Hero MotoCorp,4.1,3.8k,7,14k,"Work Life Balance, Job Security, Company Culture",NaN,Automobile | 5k-10k Employees | Public | 39 years old | Gurgaon/Gurugram +300 more
104,Hewlett-Packard Enterprise,4.3,3.8k,57,30.8k,"Company Culture, Work Life Balance, Job Security",NaN,Emerging Technologies | 10k-50k Employees | Forbes Global 2000 | 8 years old | Houston +95 more
105,Megha Engineering & Infrastructures,4.0,3.7k,9,14.1k,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Engineering & Construction | 5k-10k Employees | Conglomerate | 34 years old | Hyderabad/Secunderabad +275 more
106,Bajaj Allianz Life Insurance,4.1,3.7k,31,14.3k,"Salary & Benefits, Work Life Balance, Job Security",NaN,Insurance | 10k-50k Employees | 22 years old | Pune +478 more
107,Mahindra & Mahindra Financial Services,4.3,3.7k,49,10.4k,"Job Security, Company Culture, Work Life Balance",NaN,NBFC | 10k-50k Employees | Public | 32 years old | Mumbai +624 more
108,Cyient,3.8,3.7k,283,24.8k,Job Security,NaN,IT Services & Consulting | 10k-50k Employees | Public | 32 years old | Hyderabad/Secunderabad +32 more
109,ICICI Lombard General Insurance Company,3.8,3.6k,140,15.3k,Job Security,NaN,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +250 more
110,D Mart,3.9,3.6k,95,13.7k,"Job Security, Company Culture",NaN,Retail | 10k-50k Employees | Fortune India 500 | 23 years old | Mumbai +201 more
111,Indiamart Intermesh,3.6,3.5k,909,17.1k,NaN,NaN,Internet | 1k-5k Employees | 27 years old | Noida +130 more
112,BigBasket,4.0,3.5k,17,14.9k,"Job Security, Skill Development / Learning",NaN,Internet | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +103 more
113,Coforge,3.5,3.5k,190,30.6k,Promotions / Appraisal,NaN,IT Services & Consulting | 10k-50k Employees | Public | 19 years old | Noida +82 more
114,Hyundai Motor,4.3,3.5k,17,13.4k,"Job Security, Salary & Benefits, Skill Development / Learning",NaN,Automobile | 10k-50k Employees | Fortune India 500 | 56 years old | Seoul +261 more
115,TVS Motor,4.0,3.5k,18,14.1k,"Skill Development / Learning, Salary & Benefits, Company Culture",NaN,Automobile | 5k-10k Employees | Public | 44 years old | Chennai +258 more
116,Nagarro,4.2,3.4k,126,19.8k,"Company Culture, Work Life Balance, Salary & Benefits",NaN,IT Services & Consulting | 10k-50k Employees | 27 years old | Munich +36 more
117,Reliance Communications,3.9,3.4k,2,13.1k,Skill Development / Learning,NaN,Telecom | 201-500 Employees | Public | 21 years old | Navi Mumbai +411 more
118,Atos Syntel,3.5,3.4k,106,34.2k,Promotions / Appraisal,NaN,IT Services & Consulting | 5k-10k Employees | 43 years old | Troy +21 more
119,GlobalLogic,3.8,3.4k,76,28.9k,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,IT Services & Consulting | 10k-50k Employees | 23 years old | San Jose +31 more
120,UST,3.9,3.4k,108,32.9k,"Work Life Balance, Company Culture",NaN,IT Services & Consulting | 10k-50k Employees | 22 years old | Aliso Viejo +34 more
121,IQVIA,4.1,3.4k,44,23.8k,"Job Security, Company Culture, Work Life Balance",NaN,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 41 years old | Durham +41 more
122,Manappuram Finance,3.9,3.4k,4,7.6k,"Skill Development / Learning, Promotions / Appraisal",NaN,NBFC | 10k-50k Employees | Public | 74 years old | Thrissur/Trichur +461 more
123,Bosch,4.3,3.4k,10,18.1k,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Auto Components | 10k-50k Employees | Public | 137 years old | Gerlingen +92 more
124,Bosch Global Software Technologies,4.2,3.3k,9,30.5k,"Job Security, Work Life Balance, Company Culture",NaN,Software Product | 10k-50k Employees | 33 years old | Gerlingen +27 more
125,Virtusa Consulting Services,3.8,3.3k,110,43.5k,NaN,NaN,IT Services & Consulting | 10k-50k Employees | 27 years old | Southborough +31 more
